Species,Genome Size (bp)
Rice yellow mottle virus satellite,220
Turnip crinkle virus satellite RNA,230
Coconut cadang-cadang viroid,246
Avocado sunblotch viroid,247
Coleus blumei viroid 1,248
Coconut tinangaja viroid,254
Hop latent viroid,256
Coleus blumei viroid 5,274
Citrus bark cracking viroid,284
Citrus dwarfing viroid,292
Citrus viroid V,294
Coleus blumei viroid,295
Arabis mosaic virus small satellite RNA,300
Coleus blumei viroid 2,301
Arabis mosaic virus small satellite RNA barley/CHE/1991,301
Hop stunt viroid,302
Lychee viroid-like RNA,304
Apscaviroid fossulamali,306
Pear blister canker viroid,315
Citrus bent leaf viroid,315
Plum viroid I,316
Cereal yellow dwarf virus-RPV satellite RNA,322
Dendrobium viroid,324
Lucerne transient streak virus satellite RNA,324
Grapevine latent viroid,328
Apscaviroid cicatricimali,329
Citrus viroid VI,330
Eggplant latent viroid,333
Cucumber mosaic virus satellite RNA,336
Peach latent mosaic viroid,337
Dahlia latent viroid,342
Coleus blumei viroid 6,342
Pepper chat fruit viroid,348
Portulaca latent viroid,351
Apple chlorotic fruit spot viroid,354
Turnip crinkle virus virulent satellite RNA C,355
Chrysanthemum stunt viroid,356
Mulberry small circular viroid-like RNA 1,356
Persimmon viroid 2,358
Tobacco ringspot virus satellite RNA,359
Potato spindle tuber viroid,359
Tomato planta macho viroid,360
Mexican papita viroid,360
Tomato chlorotic dwarf viroid,360
Tomato apical stunt viroid,360
Rubber viroid India/2009,361
Grapevine yellow speckle viroid 2,363
Coleus blumei viroid 3,364
Grapevine yellow speckle viroid 1,366
Velvet tobacco mottle virus Satellite RNA,366
Citrus viroid VII,368
Australian grapevine viroid,369
Columnea latent viroid,370
Iresine viroid 1,370
Citrus exocortis viroid,371
Apple fruit crinkle viroid,371
Solanum nodiflorum mottle virus satellite RNA,377
Subterranean clover mottle virus satellite RNA,388
Peanut stunt virus satellite RNA,393
Persimmon viroid,396
Chrysanthemum chlorotic mottle viroid,399
Cherry leaf scorch small circular viroid-like RNA 1,412
Cherry small circular viroid-like RNA 1,415
Apple hammerhead viroid-like circular RNA,434
Chicory yellow mottle virus satellite RNA,457
Satellites of Trichomonas vaginalis T1 virus,497
Bovine serum-associated circular virus,507
Ethiopian tobacco bushy top virus satellite RNA,521
Trichomonas vaginalis virus dsRNA satellite S1prime,532
Pineapple bacilliform ER virus,545
Schefflera ringspot virus,555
Beet black scorch virus satellite RNA,615
Cymbidium ringspot virus satellite RNA,618
Bombyx mori cypovirus 1 satellite RNA,647
Porcine circovirus-like virus P1,648
Sweet potato leaf curl deltasatellite 1,662
Desmodium leaf distortion deltasatellite,666
Cucurbita yellow vein virus-associated DNA beta,667
Malvastrum leaf curl deltasatellite,673
New World begomovirus associated satellite DNA isolate 228H1,677
Tomato leaf curl deltasatellite,682
Trichomonas vaginalis virus dsRNA satellite S1,683
New World begomovirus associated satellite DNA isolate 404N1,685
New World begomovirus associated satellite DNA isolate 412N1,686
Small begomovirus-associated satellite,687
New World begomovirus associated satellite DNA isolate H1,687
New World begomovirus associated satellite DNA isolate 177H3,689
Sauropus leaf curl disease associated DNA beta,692
Deltasatellite sat-603,694
Pea enation mosaic virus satellite RNA,717
Ipomea begomovirus satellite 1,731
Sweet potato leaf curl deltasatellite 2,733
Croton yellow vein betasatellite,739
Hollyhock leaf crumple virus satellite DNA,741
Carrot mottle virus satellite RNA,745
Carrot mottle mimic virus satellite RNA,748
Tobacco bushy top virus satellite-like RNA,781
Tomato bushy stunt virus satellite RNA,822
Panicum mosaic satellite virus,826
Bamboo mosaic virus satellite RNA,836
Lake Sarah-associated circular molecule 4,838
Circoviridae SFBeef,859
Extra small virus,872
Groundnut rosette virus satellite RNA,893
Malvastrum leaf curl virus-associated defective DNA beta,895
Sewage-associated circular DNA molecule-1,967
Parsley severe stunt alphasatellite 3,986
Parsley severe stunt alphasatellite 4,990
Faba bean necrotic stunt alphasatellite 2,995
Sophora alopecuroides yellow stunt alphasatellite 1a,996
Pea necrotic yellow dwarf alphasatellite 3,1000
Milk vetch dwarf C3 alphasatellite,1000
Faba bean necrotic stunt alphasatellite 1,1001
Faba bean necrotic yellows C1 alphasatellite,1002
Sophora alopecuroides yellow stunt alphasatellite 9,1003
Faba bean necrotic yellows C11 alphasatellite,1004
Faba bean necrotic yellows virus associated alphasatellite 1,1005
Faba bean necrotic yellows C9 alphasatellite,1007
Milk vetch dwarf C1 alphasatellite,1007
Milk vetch dwarf C2 alphasatellite,1009
Sophora alopecuroides yellow stunt alphasatellite 4,1009
Sophora alopecuroides yellow stunt alphasatellite 8,1010
Tomato leaf curl New Delhi betasatellite,1012
Faba bean necrotic yellows C7 alphasatellite,1015
Subterranean clover stunt C6 alphasatellite,1017
Pea necrotic yellow dwarf alphasatellite 1,1021
Subterranean clover stunt C2 alphasatellite,1022
Milk vetch dwarf C10 alphasatellite,1022
Sophora alopecuroides yellow stunt alphasatellite 7a,1022
Black medic leafroll alphasatellite 1,1030
Begomovirus-associated DNA-II,1032
Cow vetch latent virus alphasatellite,1035
Sewage-associated circular DNA molecule,1040
Lake Sarah-associated circular molecule 5,1045
Circovirus-like genome DCCV-1,1051
Grapevine satellite virus,1060
Hermit crab associated circular genome,1063
Circoviridae 19 LDMD-2013,1064
Lake Sarah-associated circular molecule 3,1082
Banana bunchy top alphasatellite 3,1093
Lake Sarah-associated circular molecule 7,1096
Banana bunchy top alphasatellite 1,1096
Banana bunchy top alphasatellite 2,1100
Arabis mosaic virus large satellite RNA,1104
Lake Sarah-associated circular molecule 6,1113
Grapevine fanleaf virus satellite RNA,1114
Strawberry latent ringspot virus satellite RNA,1118
Olive viral satellite RNA,1118
Lake Sarah-associated circular molecule 11,1123
Cardamom bushy dwarf alphasatellite,1127
Lake Sarah-associated circular molecule 2,1131
Sewage-associated circular DNA molecule-3,1132
Lake Sarah-associated circular molecule 9,1137
Chicory yellow mottle virus large satellite RNA,1165
Satellite maize white line mosaic virus,1168
